subject_id,trial_id,scenario_id,domain,frame,presentation_order,block_id,stimulus_file,stimulus_text
SUBJ_001,1,health_rehab_90,health,loss,1,1,stimuli/health_rehab_90_loss.txt,A patient is considering a rehabilitation program. The clinician explains that 10 percent of patients do not regain independent mobility after treatment.
SUBJ_001,2,financial_investment_keep_6800,financial,loss,2,1,stimuli/financial_investment_keep_6800_loss.txt,"You receive a retirement fund decision. Option A means you lose $3400 for certain and keep $3400. Option B is a gamble with equal odds to lose nothing and keep $10200, or lose $6800 and keep $0."
SUBJ_001,3,health_rehab_92,health,loss,3,2,stimuli/health_rehab_92_loss.txt,A patient is considering a rehabilitation program. The clinician explains that 8 percent of patients do not regain independent mobility after treatment.
SUBJ_001,4,education_licensing_85,education,loss,4,2,stimuli/education_licensing_85_loss.txt,A student opens licensing results showing 15 percent of answers were incorrect and considers how to study for the next assessment.
SUBJ_001,5,consumer_ground_beef_75,consumer,loss,5,3,stimuli/consumer_ground_beef_75_loss.txt,A product label states the item is 25 percent fat. A shopper decides whether it meets their standard.
SUBJ_001,6,health_rehab_80,health,gain,6,3,stimuli/health_rehab_80_gain.txt,A patient is considering a rehabilitation program. The clinician explains that 80 percent of patients regain independent mobility after treatment.
SUBJ_001,7,environment_city_air_35,environment,loss,7,4,stimuli/environment_city_air_35_loss.txt,An environmental report says a cleanup plan would still leave 65 percent of current pollution in the city air within five years.
SUBJ_001,8,employment_tech_company_90,economic,loss,8,4,stimuli/employment_tech_company_90_loss.txt,An economic report on the tech company says a proposed policy means 10 percent of workers will lose their jobs over the next year.
SUBJ_001,9,health_dental_70,health,loss,9,5,stimuli/health_dental_70_loss.txt,A patient is considering a dental implant procedure. The clinician explains that 30 percent of patients do not heal without complications after treatment.
SUBJ_001,10,consumer_filter_75,consumer,loss,10,5,stimuli/consumer_filter_75_loss.txt,A product label states the item is 25 percent contaminants remaining. A shopper decides whether it meets their standard.
SUBJ_001,11,financial_investment_keep_1600,financial,gain,11,6,stimuli/financial_investment_keep_1600_gain.txt,You receive a retirement fund decision. Option A lets you keep $1600 for certain. Option B is a gamble with equal odds to keep $2400 or only $800.
SUBJ_001,12,consumer_yogurt_90,consumer,gain,12,6,stimuli/consumer_yogurt_90_gain.txt,A product label states the item is 90 percent fat-free. A shopper decides whether it meets their standard.
SUBJ_001,13,education_midterm_65,education,loss,13,7,stimuli/education_midterm_65_loss.txt,A student opens midterm results showing 35 percent of answers were incorrect and considers how to study for the next assessment.
SUBJ_001,14,financial_rent_keep_350,financial,loss,14,7,stimuli/financial_rent_keep_350_loss.txt,"You receive a rent discount decision. Option A means you lose $175 for certain and keep $175. Option B is a gamble with equal odds to lose nothing and keep $525, or lose $350 and keep $0."
SUBJ_001,15,financial_tuition_keep_300,financial,gain,15,8,stimuli/financial_tuition_keep_300_gain.txt,You receive a tuition refund decision. Option A lets you keep $300 for certain. Option B is a gamble with equal odds to keep $450 or only $150.
SUBJ_001,16,environment_coastal_wetland_25,environment,gain,16,8,stimuli/environment_coastal_wetland_25_gain.txt,An environmental report says a cleanup plan would reduce pollution in the coastal wetland by 25 percent within five years.
SUBJ_001,17,financial_bonus_keep_1300,financial,gain,17,9,stimuli/financial_bonus_keep_1300_gain.txt,You receive a year-end bonus decision. Option A lets you keep $1300 for certain. Option B is a gamble with equal odds to keep $1950 or only $650.
SUBJ_001,18,employment_city_agency_80,economic,gain,18,9,stimuli/employment_city_agency_80_gain.txt,An economic report on the city agency says a proposed policy will help 80 percent of workers keep their jobs over the next year.
SUBJ_001,19,consumer_ground_beef_95,consumer,loss,19,10,stimuli/consumer_ground_beef_95_loss.txt,A product label states the item is 5 percent fat. A shopper decides whether it meets their standard.
SUBJ_001,20,employment_factory_90,economic,loss,20,10,stimuli/employment_factory_90_loss.txt,An economic report on the factory says a proposed policy means 10 percent of workers will lose their jobs over the next year.
SUBJ_001,21,financial_investment_keep_8000,financial,gain,21,11,stimuli/financial_investment_keep_8000_gain.txt,You receive a retirement fund decision. Option A lets you keep $8000 for certain. Option B is a gamble with equal odds to keep $12000 or only $4000.
SUBJ_001,22,consumer_battery_60,consumer,gain,22,11,stimuli/consumer_battery_60_gain.txt,A product label states the item is 60 percent charge remaining. A shopper decides whether it meets their standard.
SUBJ_001,23,financial_rent_keep_50,financial,loss,23,12,stimuli/financial_rent_keep_50_loss.txt,"You receive a rent discount decision. Option A means you lose $25 for certain and keep $25. Option B is a gamble with equal odds to lose nothing and keep $75, or lose $50 and keep $0."
SUBJ_001,24,environment_coastal_wetland_50,environment,loss,24,12,stimuli/environment_coastal_wetland_50_loss.txt,An environmental report says a cleanup plan would still leave 50 percent of current pollution in the coastal wetland within five years.
SUBJ_001,25,financial_investment_keep_7200,financial,loss,25,13,stimuli/financial_investment_keep_7200_loss.txt,"You receive a retirement fund decision. Option A means you lose $3600 for certain and keep $3600. Option B is a gamble with equal odds to lose nothing and keep $10800, or lose $7200 and keep $0."
SUBJ_001,26,financial_rent_keep_175,financial,gain,26,13,stimuli/financial_rent_keep_175_gain.txt,You receive a rent discount decision. Option A lets you keep $175 for certain. Option B is a gamble with equal odds to keep $262 or only $88.
SUBJ_001,27,environment_city_air_10,environment,loss,27,14,stimuli/environment_city_air_10_loss.txt,An environmental report says a cleanup plan would still leave 90 percent of current pollution in the city air within five years.
SUBJ_001,28,consumer_battery_80,consumer,gain,28,14,stimuli/consumer_battery_80_gain.txt,A product label states the item is 80 percent charge remaining. A shopper decides whether it meets their standard.
SUBJ_001,29,financial_investment_keep_7800,financial,loss,29,15,stimuli/financial_investment_keep_7800_loss.txt,"You receive a retirement fund decision. Option A means you lose $3900 for certain and keep $3900. Option B is a gamble with equal odds to lose nothing and keep $11700, or lose $7800 and keep $0."
SUBJ_001,30,financial_bonus_keep_1650,financial,gain,30,15,stimuli/financial_bonus_keep_1650_gain.txt,You receive a year-end bonus decision. Option A lets you keep $1650 for certain. Option B is a gamble with equal odds to keep $2475 or only $825.
SUBJ_001,31,environment_coastal_wetland_40,environment,loss,31,16,stimuli/environment_coastal_wetland_40_loss.txt,An environmental report says a cleanup plan would still leave 60 percent of current pollution in the coastal wetland within five years.
SUBJ_001,32,employment_factory_75,economic,loss,32,16,stimuli/employment_factory_75_loss.txt,An economic report on the factory says a proposed policy means 25 percent of workers will lose their jobs over the next year.
SUBJ_001,33,environment_city_air_25,environment,loss,33,17,stimuli/environment_city_air_25_loss.txt,An environmental report says a cleanup plan would still leave 75 percent of current pollution in the city air within five years.
SUBJ_001,34,education_final_70,education,gain,34,17,stimuli/education_final_70_gain.txt,A student opens final results showing 70 percent of answers were correct and considers how to study for the next assessment.
SUBJ_001,35,financial_investment_keep_3600,financial,loss,35,18,stimuli/financial_investment_keep_3600_loss.txt,"You receive a retirement fund decision. Option A means you lose $1800 for certain and keep $1800. Option B is a gamble with equal odds to lose nothing and keep $5400, or lose $3600 and keep $0."
SUBJ_001,36,education_final_75,education,gain,36,18,stimuli/education_final_75_gain.txt,A student opens final results showing 75 percent of answers were correct and considers how to study for the next assessment.
SUBJ_001,37,education_placement_70,education,gain,37,19,stimuli/education_placement_70_gain.txt,A student opens placement results showing 70 percent of answers were correct and considers how to study for the next assessment.
SUBJ_001,38,consumer_ground_beef_90,consumer,gain,38,19,stimuli/consumer_ground_beef_90_gain.txt,A product label states the item is 90 percent lean. A shopper decides whether it meets their standard.
SUBJ_001,39,environment_industrial_zone_10,environment,gain,39,20,stimuli/environment_industrial_zone_10_gain.txt,An environmental report says a cleanup plan would reduce pollution in the industrial zone by 10 percent within five years.
SUBJ_001,40,consumer_battery_90,consumer,gain,40,20,stimuli/consumer_battery_90_gain.txt,A product label states the item is 90 percent charge remaining. A shopper decides whether it meets their standard.
SUBJ_001,41,education_certification_90,education,gain,41,21,stimuli/education_certification_90_gain.txt,A student opens certification results showing 90 percent of answers were correct and considers how to study for the next assessment.
SUBJ_001,42,financial_bonus_keep_800,financial,gain,42,21,stimuli/financial_bonus_keep_800_gain.txt,You receive a year-end bonus decision. Option A lets you keep $800 for certain. Option B is a gamble with equal odds to keep $1200 or only $400.
SUBJ_001,43,employment_tech_company_75,economic,gain,43,22,stimuli/employment_tech_company_75_gain.txt,An economic report on the tech company says a proposed policy will help 75 percent of workers keep their jobs over the next year.
SUBJ_001,44,financial_investment_keep_1400,financial,loss,44,22,stimuli/financial_investment_keep_1400_loss.txt,"You receive a retirement fund decision. Option A means you lose $700 for certain and keep $700. Option B is a gamble with equal odds to lose nothing and keep $2100, or lose $1400 and keep $0."
SUBJ_001,45,financial_investment_keep_9200,financial,gain,45,23,stimuli/financial_investment_keep_9200_gain.txt,You receive a retirement fund decision. Option A lets you keep $9200 for certain. Option B is a gamble with equal odds to keep $13800 or only $4600.
SUBJ_001,46,employment_hospital_75,economic,loss,46,23,stimuli/employment_hospital_75_loss.txt,An economic report on the hospital says a proposed policy means 25 percent of workers will lose their jobs over the next year.
SUBJ_001,47,education_certification_50,education,gain,47,24,stimuli/education_certification_50_gain.txt,A student opens certification results showing 50 percent of answers were correct and considers how to study for the next assessment.
SUBJ_001,48,consumer_ground_beef_60,consumer,loss,48,24,stimuli/consumer_ground_beef_60_loss.txt,A product label states the item is 40 percent fat. A shopper decides whether it meets their standard.
SUBJ_001,49,financial_investment_keep_1800,financial,gain,49,25,stimuli/financial_investment_keep_1800_gain.txt,You receive a retirement fund decision. Option A lets you keep $1800 for certain. Option B is a gamble with equal odds to keep $2700 or only $900.
